"from","from_name","from_birth","from_death","to","to_name","to_birth","to_death","relationship"
"I15","Andrea Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","1715 Chimbarongo,Colchagua,Chile","I1954","José Donoso Riquelme de La Barrera","","Chimbarongo,Colchagua,Chile","child"
"I15","Andrea Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","1715 Chimbarongo,Colchagua,Chile","I1955","Francisco Donoso Riquelme de La Barrera","","Chimbarongo,Colchagua,Chile","child"
"I15","Andrea Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","1715 Chimbarongo,Colchagua,Chile","I1956","Juan Donoso Riquelme de La Barrera","","Chimbarongo,Colchagua,Chile","child"
"I15","Andrea Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","1715 Chimbarongo,Colchagua,Chile","I1957","Miguel Donoso Riquelme de La Barrera","","Colchagua,Chile","child"
"I15","Andrea Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","1715 Chimbarongo,Colchagua,Chile","I1959","Elena Donoso Riquelme de La Barrera","","Conchagua,Chile","child"
"I15","Andrea Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","1715 Chimbarongo,Colchagua,Chile","I1971","Mariana Donoso Riquelme de La Barrera","","Colchagua,Chile","child"
"I15","Andrea Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","1715 Chimbarongo,Colchagua,Chile","I1958","Clara Donoso Riquelme de La Barrera","1/1/1648","Santiago,Chile","child"
"I15","Andrea Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","1715 Chimbarongo,Colchagua,Chile","I1970","Ines Donoso Riquelme de La Barrera","1/1/1692","Conchagua,Chile","child"
"I16","María Josefa Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","Concepción,Chile","I3","Alonso Riquelme de La Barrera Alvarez","1595 Chillán,Ñuble,Chile","1657 Santiago,Chile","father"
"I16","María Josefa Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","Concepción,Chile","I13","María Cabrera Venegas","Santiago,Chile","Santiago,Chile","mother"
"I16","María Josefa Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","Concepción,Chile","I28","Lucas Díaz de Ayllón","Concepción,Chile","Concepción,Chile","spouse"
"I16","María Josefa Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","Concepción,Chile","I61327","Simón Díaz de Ayllón",NA,"Concepción,Chile","child"
"I16","María Josefa Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","Concepción,Chile","I17309","Antonio Díaz de Ayllón",NA,"Concepción,Chile","child"
"I17","Paula Gajardo Fernández","Chillán,Ñuble,Chile","Colchagua,Chile","I691","Juan Gajardo Pacheco","Teno,Chimbarongo,Colchagua,Chile","12/26/1637 Teno,Chimbarongo,Colchagua,Chile","father"
"I17","Paula Gajardo Fernández","Chillán,Ñuble,Chile","Colchagua,Chile","I692","Paula Fernández de Soto Sierra","Osorno,Chile","1/2/1690 Teno,Chimbarongo,Colchagua,Chile","mother"
"I17","Paula Gajardo Fernández","Chillán,Ñuble,Chile","Colchagua,Chile","I7294","Diego Montoya","Colchagua,Chile","Colchagua,Chile","spouse"
"I17","Paula Gajardo Fernández","Chillán,Ñuble,Chile","Colchagua,Chile","I7295","María Montoya Gajardo",NA,"Colchagua,Chile","child"
"I18","Ana María Zabala Camilo","Malloa,Colchagua,Chile","Malloa,Colchagua,Chile","I609","Francisco Antonio Zabala","Chimbarongo,Colchagua,Chile",NA,"father"
"I18","Ana María Zabala Camilo","Malloa,Colchagua,Chile","Malloa,Colchagua,Chile","I610","Magdalena Camilo Venegas de Toledo","Colchagua,Chile",NA,"mother"
"I18","Ana María Zabala Camilo","Malloa,Colchagua,Chile","Malloa,Colchagua,Chile","I7","Francisco Riquelme de La Barrera Robles","1640 Chillán,Ñuble,Chile","1706 Colchagua,Chile","spouse"
"I18","Ana María Zabala Camilo","Malloa,Colchagua,Chile","Malloa,Colchagua,Chile","I308","Isabel Rosa Riquelme de la Barrera Zabala","","Chillán,Ñuble,Chile","child"
"I18","Ana María Zabala Camilo","Malloa,Colchagua,Chile","Malloa,Colchagua,Chile","I307","Bernardino Riquelme de La Barrera Zabala","1/1/1670","Malloa,Maule,Chile","child"
"I19","Juan Humaña","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile",NA,NA,NA,NA,"father"
"I19","Juan Humaña","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile",NA,NA,NA,NA,"mother"
"I19","Juan Humaña","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","I8","Catalina Riquelme de La Barrera Robles","1650 Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","spouse"
"I19","Juan Humaña","Chillán,Ñuble,Chile","Chillan,Ñuble,Chile","I89531","Juan Humaña Riquelme de la Barrera",NA,"Chillan,Ñuble,Chile","child"
"I20","María del Rosario Pérez de Valenzuela","Chimbarongo,Chile","San Fernando,Colchagua,Chile",NA,NA,NA,NA,"father"
"I20","María del Rosario Pérez de Valenzuela","Chimbarongo,Chile","San Fernando,Colchagua,Chile",NA,NA,NA,NA,"mother"
"I20","María del Rosario Pérez de Valenzuela","Chimbarongo,Chile","San Fernando,Colchagua,Chile","I20716","José Agustín Ramírez Torrealba y Maturana","6/1/1764 Nancagua,Colchagua,Chile","San Fernando,Colchagua,Chile","spouse"
"I20","María del Rosario Pérez de Valenzuela","Chimbarongo,Chile","San Fernando,Colchagua,Chile","I47927","Amalia Torrealba Valenzuela","","Chimbarongo,Colchagua,Chile","child"
"I20","María del Rosario Pérez de Valenzuela","Chimbarongo,Chile","San Fernando,Colchagua,Chile","I15751","Josefa Torrealba Valenzuela","","Santiago de Chile","child"
"I20","María del Rosario Pérez de Valenzuela","Chimbarongo,Chile","San Fernando,Colchagua,Chile","I34370","Blas Torrealba Pérez de Valenzuela","","Chimbarongo,Colchagua,Chile","child"
"I20","María del Rosario Pérez de Valenzuela","Chimbarongo,Chile","San Fernando,Colchagua,Chile","I34129","José Agustín Torrealba Pérez de Valenzuela","1/1/1790","Chimbarongo,Chile","child"
"I21","Ana Rosa Riquelme de La Barrera, de la","1666 Chillán,Ñuble,Chile","1/26/1762 Chimbarongo,Chile","I344","Alonso Rosa, de la","Santiago,Chile","1734 Chillán,Ñuble,Chile","father"
"I21","Ana Rosa Riquelme de La Barrera, de la","1666 Chillán,Ñuble,Chile","1/26/1762 Chimbarongo,Chile","I9","Petronila Riquelme de La Barrera Robles","1652 Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","mother"
"I21","Ana Rosa Riquelme de La Barrera, de la","1666 Chillán,Ñuble,Chile","1/26/1762 Chimbarongo,Chile",NA,NA,NA,NA,"spouse"
"I21","Ana Rosa Riquelme de La Barrera, de la","1666 Chillán,Ñuble,Chile","1/26/1762 Chimbarongo,Chile","I47927","Amalia Torrealba Valenzuela","","Chimbarongo,Colchagua,Chile","child"
"I21","Ana Rosa Riquelme de La Barrera, de la","1666 Chillán,Ñuble,Chile","1/26/1762 Chimbarongo,Chile","I15751","Josefa Torrealba Valenzuela","","Santiago de Chile","child"
"I21","Ana Rosa Riquelme de La Barrera, de la","1666 Chillán,Ñuble,Chile","1/26/1762 Chimbarongo,Chile","I34370","Blas Torrealba Pérez de Valenzuela","","Chimbarongo,Colchagua,Chile","child"
"I21","Ana Rosa Riquelme de La Barrera, de la","1666 Chillán,Ñuble,Chile","1/26/1762 Chimbarongo,Chile","I34129","José Agustín Torrealba Pérez de Valenzuela","1/1/1790","Chimbarongo,Chile","child"
"I22","Inés Meza Herrera","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I619","Juan Meza Ortíz","Chillán,Ñuble,Chile","1725 Chillán,Ñuble,Chile","father"
"I22","Inés Meza Herrera","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I620","Juana Herrera Opazo","Chillán,Ñuble,Chile","1/3/1737 Chillán,Ñuble,Chile","mother"
"I22","Inés Meza Herrera","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I10","Pedro Riquelme de La Barrera Robles","1654 Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","spouse"
"I22","Inés Meza Herrera","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I48","Gabriel Riquelme de La Barrera Meza","1/1/1674","Chillán,Ñuble,Chile","child"
"I22","Inés Meza Herrera","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I42","Pedro Riquelme de La Barrera Meza","1/1/1678","Chillán,Ñuble,Chile","child"
"I22","Inés Meza Herrera","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I50","Pablo Riquelme de La Barrera Meza","1/1/1679","Chillán,Ñuble,Chile","child"
"I22","Inés Meza Herrera","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I47","Juan Riquelme de La Barrera Meza","1/1/1680","Chillán,Ñuble,Chile","child"
"I22","Inés Meza Herrera","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I53","Pabla Riquelme de La Barrera Meza","1/1/1685","Chillán,Ñuble,Chile","child"
"I22","Inés Meza Herrera","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I46","Diego Miguel Riquelme de La Barrera Meza","1/1/1690","Chillán,Ñuble,Chile","child"
"I22","Inés Meza Herrera","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I49","María Isabel Riquelme de La Barrera Meza","1/1/1693","Chillán,Ñuble,Chile","child"
"I22","Inés Meza Herrera","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I51","Francisco Riquelme de La Barrera Meza","1/1/1696","Chillán,Ñuble,Chile","child"
"I22","Inés Meza Herrera","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I52","Aldonza Riquelme de La Barrera Y Meza","1/1/1698","Chillán,Ñuble,Chile","child"
"I23","Pedro Márquez de Estrada de Porras","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I3904","JUAN ANDRÉS MÁRQUEZ de ESTRADA--","España","1642 Chillán,Ñuble,Chile","father"
"I23","Pedro Márquez de Estrada de Porras","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I3905","Juana Bautista Porras","1620 San Bartolomé de Chillan,Ñuble,Chile","Chillán,Ñuble,Chile","mother"
"I23","Pedro Márquez de Estrada de Porras","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I11","Melchora Riquelme de La Barrera Robles","Chillán,Ñuble,Chile","1712 Chillán,Ñuble,Chile","spouse"
"I23","Pedro Márquez de Estrada de Porras","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I486","Margarita Márquez de Estrada Riquelme de La Barrera-",NA,"Chillan,Ñuble,Chile","child"
"I23","Pedro Márquez de Estrada de Porras","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I24","Pedro Marquez de Estrada Riquelme de La Barrera",NA,"Chillan,Ñuble,Chile","child"
"I24","Pedro Marquez de Estrada Riquelme de La Barrera","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I23","Pedro Márquez de Estrada de Porras","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","father"
"I24","Pedro Marquez de Estrada Riquelme de La Barrera","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I11","Melchora Riquelme de La Barrera Robles","Chillán,Ñuble,Chile","1712 Chillán,Ñuble,Chile","mother"
"I24","Pedro Marquez de Estrada Riquelme de La Barrera","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile",NA,NA,NA,NA,"spouse"
"I24","Pedro Marquez de Estrada Riquelme de La Barrera","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I486","Margarita Márquez de Estrada Riquelme de La Barrera-",NA,"Chillan,Ñuble,Chile","child"
"I24","Pedro Marquez de Estrada Riquelme de La Barrera","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I24","Pedro Marquez de Estrada Riquelme de La Barrera",NA,"Chillan,Ñuble,Chile","child"
"I25","José Román López","Concepción,Chile","Malloa,Colchagua,Chile","I10536","SIMÓN ROMÁN de TAMAYO","Segovia,España","4/21/1659 Concepción,Chile","father"
"I25","José Román López","Concepción,Chile","Malloa,Colchagua,Chile","I10537","Ana López Alvarez de Toledo","Concepción,Chile","1661 Concepción,Chile","mother"
"I25","José Román López","Concepción,Chile","Malloa,Colchagua,Chile","I12","Isabel Riquelme de La Barrera Robles","Chillán,Ñuble,Chile","Malloa,Colchagua,Chile","spouse"
"I25","José Román López","Concepción,Chile","Malloa,Colchagua,Chile","I15258","Manuel Román Riquelme de la Barrera",NA,"Malloa,Conlchagua,Chile","child"
"I26","Esteban Concha","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile",NA,NA,NA,NA,"father"
"I26","Esteban Concha","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile",NA,NA,NA,NA,"mother"
"I26","Esteban Concha","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I3654","Catalina Alvarez de Toledo Humaña","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","spouse"
"I26","Esteban Concha","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","I15258","Manuel Román Riquelme de la Barrera",NA,"Malloa,Conlchagua,Chile","child"
"I27","Nicolás Donoso Alarcon Toro Mazote","Chimbarongo,Colchagua,Chile","Chimbarongo,Colchagua,Chile","I1952","Francisco Donoso Baldarra","Colchagua,Chile","1680 Chimbarongo,Colchagua,Chile","father"
"I27","Nicolás Donoso Alarcon Toro Mazote","Chimbarongo,Colchagua,Chile","Chimbarongo,Colchagua,Chile","I1953","María Alarcón Toro","Santiago,Chile","1688 Chimbarongo,Colchagua,Chile","mother"
"I27","Nicolás Donoso Alarcon Toro Mazote","Chimbarongo,Colchagua,Chile","Chimbarongo,Colchagua,Chile","I15","Andrea Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","1715 Chimbarongo,Colchagua,Chile","spouse"
"I27","Nicolás Donoso Alarcon Toro Mazote","Chimbarongo,Colchagua,Chile","Chimbarongo,Colchagua,Chile","I1954","José Donoso Riquelme de La Barrera","","Chimbarongo,Colchagua,Chile","child"
"I27","Nicolás Donoso Alarcon Toro Mazote","Chimbarongo,Colchagua,Chile","Chimbarongo,Colchagua,Chile","I1955","Francisco Donoso Riquelme de La Barrera","","Chimbarongo,Colchagua,Chile","child"
"I27","Nicolás Donoso Alarcon Toro Mazote","Chimbarongo,Colchagua,Chile","Chimbarongo,Colchagua,Chile","I1956","Juan Donoso Riquelme de La Barrera","","Chimbarongo,Colchagua,Chile","child"
"I27","Nicolás Donoso Alarcon Toro Mazote","Chimbarongo,Colchagua,Chile","Chimbarongo,Colchagua,Chile","I1957","Miguel Donoso Riquelme de La Barrera","","Colchagua,Chile","child"
"I27","Nicolás Donoso Alarcon Toro Mazote","Chimbarongo,Colchagua,Chile","Chimbarongo,Colchagua,Chile","I1959","Elena Donoso Riquelme de La Barrera","","Conchagua,Chile","child"
"I27","Nicolás Donoso Alarcon Toro Mazote","Chimbarongo,Colchagua,Chile","Chimbarongo,Colchagua,Chile","I1971","Mariana Donoso Riquelme de La Barrera","","Colchagua,Chile","child"
"I27","Nicolás Donoso Alarcon Toro Mazote","Chimbarongo,Colchagua,Chile","Chimbarongo,Colchagua,Chile","I1958","Clara Donoso Riquelme de La Barrera","1/1/1648","Santiago,Chile","child"
"I27","Nicolás Donoso Alarcon Toro Mazote","Chimbarongo,Colchagua,Chile","Chimbarongo,Colchagua,Chile","I1970","Ines Donoso Riquelme de La Barrera","1/1/1692","Conchagua,Chile","child"
"I28","Lucas Díaz de Ayllón","Concepción,Chile","Concepción,Chile",NA,NA,NA,NA,"father"
"I28","Lucas Díaz de Ayllón","Concepción,Chile","Concepción,Chile",NA,NA,NA,NA,"mother"
"I28","Lucas Díaz de Ayllón","Concepción,Chile","Concepción,Chile","I16","María Josefa Riquelme de La Barrera Cabrera","Chillán,Ñuble,Chile","Concepción,Chile","spouse"
"I28","Lucas Díaz de Ayllón","Concepción,Chile","Concepción,Chile","I61327","Simón Díaz de Ayllón",NA,"Concepción,Chile","child"
"I28","Lucas Díaz de Ayllón","Concepción,Chile","Concepción,Chile","I17309","Antonio Díaz de Ayllón",NA,"Concepción,Chile","child"
"I29","Alonso Riquelme de La Barrera de Sierra Ronquillo","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","father"
"I29","Alonso Riquelme de La Barrera de Sierra Ronquillo","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I17","Paula Gajardo Fernández","Chillán,Ñuble,Chile","Colchagua,Chile","mother"
"I29","Alonso Riquelme de La Barrera de Sierra Ronquillo","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I35","Inés Vallejos","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","spouse"
"I29","Alonso Riquelme de La Barrera de Sierra Ronquillo","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I36","Andrés Riquelme de La Barrera Vallejos","","Chillan,Ñuble,Chile","child"
"I29","Alonso Riquelme de La Barrera de Sierra Ronquillo","Chillan,Ñuble,Chile","Chillan,Ñuble,Chile","I510","Teresa Riquelme de La Barrera Vallejos","1/1/1722","Chillan,Ñuble,Chile","child"
"I30","Rosa Isabel Riquelme de La Barrera y Sierra Ronquillo","Chillán,Ñuble,Chile",NA,"I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","father"
"I30","Rosa Isabel Riquelme de La Barrera y Sierra Ronquillo","Chillán,Ñuble,Chile",NA,"I17","Paula Gajardo Fernández","Chillán,Ñuble,Chile","Colchagua,Chile","mother"
"I30","Rosa Isabel Riquelme de La Barrera y Sierra Ronquillo","Chillán,Ñuble,Chile",NA,NA,NA,NA,NA,"spouse"
"I30","Rosa Isabel Riquelme de La Barrera y Sierra Ronquillo","Chillán,Ñuble,Chile",NA,"I36","Andrés Riquelme de La Barrera Vallejos","","Chillan,Ñuble,Chile","child"
"I30","Rosa Isabel Riquelme de La Barrera y Sierra Ronquillo","Chillán,Ñuble,Chile",NA,"I510","Teresa Riquelme de La Barrera Vallejos","1/1/1722","Chillan,Ñuble,Chile","child"
"I31","Juan Riquelme de La Barrera Soto","1655 Chillan,Ñuble,Chile","Chillán,Ñuble,Chile","I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","father"
"I31","Juan Riquelme de La Barrera Soto","1655 Chillan,Ñuble,Chile","Chillán,Ñuble,Chile","I17","Paula Gajardo Fernández","Chillán,Ñuble,Chile","Colchagua,Chile","mother"
"I31","Juan Riquelme de La Barrera Soto","1655 Chillan,Ñuble,Chile","Chillán,Ñuble,Chile","I38","Ines Córdova","Chillán,Ñuble,Chile","Chillán,Ñuble,Chile","spouse"
"I31","Juan Riquelme de La Barrera Soto","1655 Chillan,Ñuble,Chile","Chillán,Ñuble,Chile","I39","Santiago Riquelme de La Barrera Córdova",NA,"Chillán,Ñuble,Chile","child"
"I32","Jerónima Riquelme de La Barrera de Sierra Ronquillo","1660 Chillan,Ñuble,Chile","Chillán,Ñuble,Chile","I6","Alonso Riquelme de La Barrera Robles","1639 Chillán,Ñuble,Chile","1719 Chillán,Ñuble,Chile","father"
"I32","Jerónima Riquelme de La Barrera de Sierra Ronquillo","1660 Chillan,Ñuble,Chile","Chillán,Ñuble,Chile","I17","Paula Gajardo Fernández","Chillán,Ñuble,Chile","Colchagua,Chile","mother"
"I32","Jerónima Riquelme de La Barrera de Sierra Ronquillo","1660 Chillan,Ñuble,Chile","Chillán,Ñuble,Chile","I2088","Andrés Contreras Meza","Santiago,Chile","1673 Chillán,ñuble,Chile","spouse"
"I32","Jerónima Riquelme de La Barrera de Sierra Ronquillo","1660 Chillan,Ñuble,Chile","Chillán,Ñuble,Chile","I4481","Catalina Contreras Riquelme de La Barrera",NA,"Chillán,Ñuble,Chile","child"
"I32","Jerónima Riquelme de La Barrera de Sierra Ronquillo","1660 Chillan,Ñuble,Chile","Chillán,Ñuble,Chile","I4482","Andrés Contreras Riquelme de La Barrera",NA,"Chillán,Ñuble,Chile","child"
